a-moving;1;1
a-playing;1;2
a-ringing;1;3
a-rolling;1;4
a-talkin;1;5
a-ticking;1;6
ABC's;1;7
able;1;8
aboard;1;9
absolutely;1;10
accidents;1;11
acorns;1;12
acquainted;1;13
acts;1;14
add;1;15
advice;1;16
aflame;1;17
afternoon;1;18
against;1;19
age;1;20
ageing;1;21
Albert;1;22
alerted;1;23
Allen;1;24
alley;1;25
alongside;1;26
aloud;1;27
American;1;28
among;1;29
Amsterdam;1;30
andern;1;31
angry;1;32
annoyed;1;33
anywhere;1;34
appearss;1;35
apply;1;36
appointment;1;37
aren't;1;38
Arizona;1;39
Arkansas;1;40
armchair;1;41
arrives;1;42
AsI;1;43
asking;1;44
assure;1;45
astray;1;46
ate;1;47
Atlantic;1;48
attractively;1;49
Attracts;1;50
audience;1;51
autopraphs;1;52
avoid;1;53
awail;1;54
awake;1;55
aware;1;56
awoken;1;57
Awww;1;58
backdoor;1;59
backed;1;60
backing;1;61
bacon;1;62
badly;1;63
Bahran;1;64
bak;1;65
balalaikas;1;66
banks;1;67
bar;1;68
barrow;1;69
Based;1;70
bathroom;1;71
battlefield;1;72
BB;1;73
Bbbbb;1;74
BBC;1;75
Beach;1;76
beam;1;77
bean;1;78
beatin;1;79
Beatles;1;80
beauty;1;81
became;1;82
become;1;83
bedroom;1;84
beds;1;85
bee;1;86
bees;1;87
began;1;88
begging;1;89
bells;1;90
belly;1;91
benefit;1;92
bent;1;93
Biding;1;94
Billy;1;95
Bishopsgate;1;96
bits;1;97
Blackburn;1;98
blindly;1;99
blinds;1;100
blink;1;101
Blonde;1;102
blowin;1;103
BOAC;1;104
bob;1;105
body;1;106
boldly;1;107
bone;1;108
Booked;1;109
bootlace;1;110
bothered;1;111
bottle;1;112
bounder;1;113
box;1;114
boyfriend;1;115
brain;1;116
brand;1;117
breakfast;1;118
breaking;1;119
breast;1;120
brew;1;121
bride;1;122
Bull;1;123
bullet-headed;1;124
bunk;1;125
buried;1;126
burning;1;127
Burns;1;128
burnt;1;129
bus;1;130
Busby;1;131
bust;1;132
busy;1;133
butted;1;134
Butterflies;1;135
C;1;136
cabin;1;137
California;1;138
cam;1;139
canary;1;140
candy;1;141
cap;1;142
Captain;1;143
carat;1;144
cares;1;145
caressing;1;146
Carl;1;147
Carolina;1;148
carousel;1;149
cart;1;150
cave;1;151
celebrated;1;152
celebrations;1;153
Cellophane;1;154
cent;1;155
certain;1;156
certainly;1;157
cha-cha-cha-chance;1;158
chain;1;159
challenge;1;160
Changes;1;161
chapattis;1;162
charity;1;163
cherry;1;164
chicka;1;165
Child-like;1;166
chip;1;167
chips;1;168
choc'late;1;169
choking;1;170
chow;1;171
Chuck;1;172
CIA;1;173
cigarette;1;174
clay;1;175
Climb;1;176
climbing;1;177
clinging;1;178
clock;1;179
closing;1;180
cloudburst;1;181
cloudy;1;182
clowns;1;183
clubs;1;184
coachin;1;185
coat;1;186
coca-cola;1;187
cocker;1;188
Coconut;1;189
colder;1;190
collapsed;1;191
college;1;192
colorful;1;193
compare;1;194
compared;1;195
comrade;1;196
conceive;1;197
confusing;1;198
congo;1;199
contacts;1;200
contract;1;201
controlled;1;202
conversation;1;203
cooky;1;204
coral;1;205
corazon;1;206
cornflake;1;207
Corporation;1;208
